name;fujicolor-c200-dehancer-colorchecker
description;fitted LUT style from fujicolor-c200-dehancer-colorchecker.pfm
num_gray;8
patch;L_source;a_source;b_source;L_reference;a_reference;b_reference
WBP1;80.397369384765625;0.85362792015075684;-0.24595260620117188;89.360092163085938;-7.0590076446533203;-2.9958248138427734
WBP2;81.484207153320312;-1.2575387954711914;-1.0042667388916016;90.116172790527344;-9.0721845626831055;-4.6551346778869629
WBP3;81.072776794433594;-2.4280846118927002;-2.4755001068115234;90.096450805664062;-10.052591323852539;-5.0561189651489258
WBP4;81.003501892089844;-4.1371288299560547;-2.7003049850463867;89.943229675292969;-11.509180068969727;-5.4065942764282227
WBP5;81.443748474121094;-6.1040821075439453;-4.347527027130127;90.596954345703125;-13.103604316711426;-6.6639304161071777
WBL1;80.355079650878906;4.6541690826416016;0.5025029182434082;89.01141357421875;-4.5030412673950195;-2.8692364692687988
WBL2;80.885147094726562;4.24322509765625;-0.12114048004150391;89.570457458496094;-4.8260393142700195;-3.5126686096191406
WBL3;80.666397094726562;0.85854530334472656;-0.28715133666992188;89.611900329589844;-7.0743560791015625;-3.0552268028259277
WBL4;81.013580322265625;-1.2124776840209961;-2.6292800903320312;89.943504333496094;-9.2471542358398438;-5.3352594375610352
WBL5;80.923385620117188;-2.2262334823608398;-5.7290911674499512;90.070022583007812;-10.995149612426758;-8.5991497039794922
SAT1;55.596504211425781;51.240951538085938;35.298610687255859;57.630172729492188;41.121871948242188;30.640911102294922
SAT2;73.603744506835938;32.2901611328125;71.354019165039062;75.482131958007812;28.74174690246582;65.469039916992188
SAT3;84.252471923828125;1.3645589351654053;83.627250671386719;85.862106323242188;5.6519508361816406;79.337600708007812
SAT4;64.051971435546875;-53.373069763183594;27.569843292236328;70.175430297851562;-39.6575927734375;32.047344207763672
SAT5;61.609512329101562;-24.643600463867188;-32.947887420654297;71.60382080078125;-26.223033905029297;-32.023384094238281
SAT6;50.968467712402344;1.3222098350524902;-52.628971099853516;58.860992431640625;-9.2435779571533203;-53.350032806396484
SAT7;52.882270812988281;32.5343017578125;-29.985475540161133;59.334686279296875;16.257316589355469;-33.900249481201172
SAT8;55.609901428222656;51.301033020019531;0.38524866104125977;60.166427612304688;35.352588653564453;-5.5171489715576172
A1;35.274669647216797;15.03901195526123;18.235986709594727;33.200088500976562;11.695533752441406;19.030374526977539
B1;64.131431579589844;34.016845703125;67.268196105957031;65.826271057128906;30.297040939331055;63.016120910644531
C1;22.873855590820312;28.563276290893555;-59.332817077636719;23.493453979492188;19.069746017456055;-57.433097839355469
D1;88.597084045410156;0.0091493129730224609;1.0807633399963379;96.335762023925781;-8.2752113342285156;-2.7420997619628906
A2;67.177131652832031;17.005950927734375;14.768779754638672;74.734573364257812;8.6094436645507812;11.188423156738281
B2;35.468593597412109;21.327793121337891;-55.486083984375;37.621109008789062;7.8280267715454102;-56.644775390625
C2;53.286018371582031;-48.704803466796875;33.057945251464844;56.529617309570312;-35.57720947265625;38.319992065429688
D2;79.257881164550781;-0.0171661376953125;0.047349929809570312;88.113250732421875;-7.1402192115783691;-2.9615640640258789
A3;46.914375305175781;-3.2195448875427246;-27.376794815063477;51.605010986328125;-9.6274614334106445;-27.475679397583008
B3;53.587326049804688;48.206119537353516;23.773496627807617;56.094406127929688;37.124515533447266;19.579410552978516
C3;44.606609344482422;46.111316680908203;36.099403381347656;43.905918121337891;40.064334869384766;33.744026184082031
D3;66.973747253417969;0.00032782554626464844;-0.00032186508178710938;75.954963684082031;-6.3904228210449219;-2.2148013114929199
A4;39.291046142578125;-15.644595146179199;24.945205688476562;38.790863037109375;-12.803032875061035;28.493833541870117
B4;25.040988922119141;24.234771728515625;-20.241170883178711;20.981407165527344;15.348285675048828;-21.923709869384766
C4;80.621749877929688;0.6383359432220459;80.586112976074219;82.598091125488281;5.9664545059204102;77.136001586914062
D4;48.544868469238281;1.1967718601226807;-0.17292499542236328;52.328620910644531;-3.3606588840484619;-0.3683924674987793
A5;55.094131469726562;10.493129730224609;-26.244295120239258;62.603073120117188;-0.38504600524902344;-28.197502136230469
B5;72.158966064453125;-27.313470840454102;60.659797668457031;76.225479125976562;-17.691314697265625;61.758888244628906
C5;54.078170776367188;47.479213714599609;-10.571098327636719;59.258430480957031;30.768186569213867;-16.873931884765625
D5;30.012397766113281;1.1729300022125244;-2.6875615119934082;26.935810089111328;-2.379730224609375;-1.0370969772338867
A6;70.515205383300781;-31.476348876953125;-5.1879286766052246;79.984443664550781;-29.736249923706055;-4.6487927436828613
B6;72.678848266601562;18.129051208496094;75.5908203125;74.899436950683594;18.934995651245117;71.904083251953125
C6;50.350456237792969;-16.929744720458984;-34.856830596923828;57.194877624511719;-19.771068572998047;-33.830715179443359
D6;11.816295623779297;1.5791058540344238;-1.8205195665359497;5.2053470611572266;-0.039488077163696289;-1.5830367803573608
NEU1;11.239799499511719;1.5741958618164062;-1.7800271511077881;4.5562191009521484;0.094868242740631104;-1.8993884325027466
NEU2;13.775596618652344;1.8285065889358521;-3.0211210250854492;7.3852596282958984;0.0090375542640686035;-3.191143274307251
NEU3;17.679828643798828;1.1136531829833984;-2.6249229907989502;11.841835021972656;-1.4756844043731689;-2.0467848777770996
NEU4;20.879402160644531;0.33938884735107422;-1.2615740299224854;15.292030334472656;-1.7956644296646118;-0.9257197380065918
NEU5;74.780685424804688;0.049740076065063477;-0.014400482177734375;84.071830749511719;-7.1113405227661133;-3.0117273330688477
NEU6;80.595199584960938;0.00041723251342773438;-0.00036954879760742188;89.275650024414062;-8.2005558013916016;-2.8413295745849609
NEU7;85.843338012695312;0.00041723251342773438;-0.00039339065551757812;94.183540344238281;-8.6345672607421875;-3.5260915756225586
NEU8;90.167488098144531;0.08347630500793457;1.1115431785583496;97.975990295410156;-8.7770519256591797;-2.582395076751709
